status,universal_id,internal_id,internal_name,internal_team,hkb_id,hkb_name,hkb_team,notes
MATCHED,0000517,10233,Amed Rosario,NYY,jekGCphm,Amed Rosario,NYY,Existing registry mapping
MATCHED,0000507,62945,LuJames Groover,AZ,qIOSE5pg,Gino Groover,AZ,Existing registry mapping
MATCHED,0000519,11809,Anthony Volpe,NYY,23OZF2Cj,Anthony Volpe,NYY,Existing registry mapping
MATCHED,0000528,60055,Druw Jones,AZ,WnEBWb_J,Druw Jones,AZ,Existing registry mapping
MATCHED,0000521,11124,Ramon Laureano,SD,WuIFeTOo,Ramón Laureano,SD,Existing registry mapping
MATCHED,0000523,66399,Nate George,BAL,rRv1mdDe,Nate George,BAL,Existing registry mapping
MATCHED,0000524,63580,Thayron Liranzo,DET,_fxGGD8a,Thayron Liranzo,DET,Existing registry mapping
MATCHED,0000525,64341,Malcolm Moore,TEX,GUnQAnVi,Malcolm Moore,TEX,Existing registry mapping
MATCHED,0000526,60185,Ryan Clifford,NYM,y8mzImLF,Ryan Clifford,NYM,Existing registry mapping
MATCHED,0000527,64310,Charlie Condon,COL,FnGaoNTB,Charlie Condon,COL,Existing registry mapping
MATCHED,0000529,65736,Gavin Kilen,SF,sm590nQp,Gavin Kilen,SF,Existing registry mapping
MATCHED,0000530,65732,Marek Houston,MIN,smiWB5mq,Marek Houston,MIN,Existing registry mapping
MATCHED,0000531,12606,Tyler Holton,DET,QaZn27U9,Tyler Holton,DET,Existing registry mapping
MATCHED,0000532,60254,Jacob Misiorowski,MIL,XxtW4Fvu,Jacob Misiorowski,MIL,Existing registry mapping
MATCHED,0000533,12516,Bubba Chandler,PIT,xgk0MNdU,Bubba Chandler,PIT,Existing registry mapping
MATCHED,0000534,64320,Trey Yesavage,TOR,zE44Zvag,Trey Yesavage,TOR,Existing registry mapping
MATCHED,0000544,10573,Cal Quantrill,TEX,ShaXQCUT,Cal Quantrill,TEX,Existing registry mapping
MATCHED,0000536,11644,Tyler Rogers,TOR,YH_ZaoS1,Tyler Rogers,TOR,Existing registry mapping
MATCHED,0000537,10882,Gregory Soto,PIT,wanlnsMP,Gregory Soto,PIT,Existing registry mapping
MATCHED,0000538,11044,Jonathan Loaisiga,AZ,16ypZh52,Jonathan Loaisiga,AZ,Existing registry mapping
MATCHED,0000541,12614,Yennier Cano,BAL,r0zMde-n,Yennier Cano,BAL,Existing registry mapping
MATCHED,0000678,10659,Lucas Erceg,KC,I3LDQ3zx,Lucas Erceg,KC,Existing registry mapping
MATCHED,0000540,64014,Bryan King,HOU,FEkvfUQ0,Bryan King,HOU,Existing registry mapping
